Timestamp,06.005.BLK01.PAD04.INV01 - INV01 - Inverter04.AC_POWER (kW)
09/01/2018 05:30:00,
09/01/2018 05:35:00,
09/01/2018 05:40:00,
09/01/2018 05:45:00,
09/01/2018 05:50:00,
09/01/2018 05:55:00,
09/01/2018 06:00:00,
09/01/2018 06:05:00,
09/01/2018 06:10:00,
09/01/2018 06:15:00,
09/01/2018 06:20:00,
09/01/2018 06:25:00,
09/01/2018 06:30:00,
09/01/2018 06:35:00,
09/01/2018 06:40:00,
09/01/2018 06:45:00,
09/01/2018 06:50:00,
09/01/2018 06:55:00,
09/01/2018 07:00:00,
09/01/2018 07:05:00,
09/01/2018 07:10:00,
09/01/2018 07:15:00,
09/01/2018 07:20:00,
09/01/2018 07:25:00,
09/01/2018 07:30:00,
09/01/2018 07:35:00,
09/01/2018 07:40:00,
09/01/2018 07:45:00,1.345904308
09/01/2018 07:50:00,45.3766182
09/01/2018 07:55:00,54.33172556
09/01/2018 08:00:00,70.13187569
09/01/2018 08:05:00,81.16560603
09/01/2018 08:10:00,89.03966812
09/01/2018 08:15:00,97.53094598
09/01/2018 08:20:00,108.9671117
09/01/2018 08:25:00,119.2308497
09/01/2018 08:30:00,128.0078574
09/01/2018 08:35:00,135.4439974
09/01/2018 08:40:00,141.0501391
09/01/2018 08:45:00,148.2624137
09/01/2018 08:50:00,200.4434485
09/01/2018 08:55:00,991.5460976
09/01/2018 09:00:00,1720.207491
09/01/2018 09:05:00,1860.167221
09/01/2018 09:10:00,1895.333789
09/01/2018 09:15:00,1918.913593
09/01/2018 09:20:00,1940.006518
09/01/2018 09:25:00,1956.163112
09/01/2018 09:30:00,1973.575119
09/01/2018 09:35:00,1993.66669
09/01/2018 09:40:00,1996.638236
09/01/2018 09:45:00,1996.3658
09/01/2018 09:50:00,1995.253327
09/01/2018 09:55:00,1996.14194
09/01/2018 10:00:00,1996.467967
09/01/2018 10:05:00,1996.499955
09/01/2018 10:10:00,1994.983465
09/01/2018 10:15:00,1994.880348
