"PVWatts: Hourly PV Performance Data"
"Requested Location:","140 Gulf St Milford CT"
"Location:","Lat, Lon: 41.21, -73.06"
"Lat (deg N):","41.21"
"Long (deg W):","73.06"
"Elev (m):","24.272727966309"
"DC System Size (kW):","52.6"
"Module Type:","Standard"
"Array Type:","Fixed (open rack)"
"Array Tilt (deg):","20"
"Array Azimuth (deg):","182"
"System Losses:","14.08"
"Invert Efficiency:","96"
"DC to AC Size Ratio:","1.2"
"Average Cost of Electricity Purchased from Utility ($/kWh):","0.159"
"Capacity Factor (%)","14.8"	

"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"3","3","2","0","0","-8","4","0","-8","0","0"
"3","3","3","0","0","-8","4","0","-8","0","0"
"3","3","4","0","0","-8","4","0","-8","0","0"
"3","3","5","0","0","-9","4","0","-9","0","0"
"3","3","6","0","0","-9","4","0","-9","0","0"
"3","3","7","88","74","-8","4","103.132","-7.419","5118.532","4748.858"
"3","3","8","330","135","-7","4","313.779","-1.452","15492.352","14860.536"
"3","3","9","639","127","-7","4","588.568","5.147","28751.191","27673.586"
"3","3","10","733","134","-6","4","758.142","10.495","36466.094","35071.91"
"3","3","11","430","266","-6","4","686.833","9.29","33298.496","32039.385"
"3","3","12","487","246","-5","4","719.612","10.851","34650.484","33334.586"
"3","3","13","624","175","-5","4","730.628","11.165","35077.527","33743.426"
"3","3","14","673","122","-4","4","632.342","10.013","30323.91","29185.184"
"3","3","15","435","129","-4","4","389.255","4.404","18825.309","18093.125"
"3","3","16","267","77","-5","4","181.812","-1.774","8598.176","8149.051"
"3","3","17","0","15","-5","4","14.212","-6.012","735.932","454.147"
"3","3","18","0","0","-6","4","0","-6","0","0"
"3","3","19","0","0","-7","4","0","-7","0","0"
"3","3","20","0","0","-8","4","0","-8","0","0"
"3","3","21","0","0","-8","4","0","-8","0","0"
"3","3","22","0","0","-9","4","0","-9","0","0"
"3","3","23","0","0","-9","3","0","-9","0","0"
"3","4","0","0","0","-10","3","0","-10","0","0"
"3","4","1","0","0","-10","3","0","-10","0","0"
"3","4","2","0","0","-10","3","0","-10","0","0"
"3","4","3","0","0","-10","3","0","-10","0","0"
"3","4","4","0","0","-10","3","0","-10","0","0"
"3","4","5","0","0","-10","3","0","-10","0","0"
"3","4","6","0","0","-9","3","0","-9","0","0"
"3","4","7","354","62","-6","3","175.056","-3.532","7980.285","7545.894"
